"lat","long","accuracy","formatted_address","address_type","status","screenName"
41.8356821,-4.3976357,"administrative_area_level_1","Castile and León, Spain","administrative_area_level_1,political","OK","IngMontesCyL"
42.5921924,-6.663812,"administrative_area_level_3","El Bierzo, León, Spain","administrative_area_level_3,political","OK","Infobierzo"
38.6884458,-4.1078877,"locality","Puertollano, Ciudad Real, Spain","locality,political","OK","PuertoLocal092"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","dsn"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","interiorgob"
40.4819791,-3.3635421,"locality","Alcala de Henares, Madrid, Spain","locality,political","OK","juancarmuma"
42.0096857,-4.5288016,"locality","Palencia, Spain","locality,political","OK","llalosma8"
39.2795607,-3.097702,"administrative_area_level_1","Castile-La Mancha, Spain","administrative_area_level_1,political","OK","Plan_INFOCAM"
39.8628316,-4.0273231,"locality","Toledo, Spain","locality,political","OK","DSostenibleCLM"
40.4167515,-3.7038322,"administrative_area_level_1","Community of Madrid, Madrid, Spain","administrative_area_level_1,political","OK","VOSTmadrid"
43.2630126,-2.9349852,"locality","Bilbao, Biscay, Spain","locality,political","OK","VOSTeuskadi"
40.2,-4.8333333,"establishment","Valle del Tietar, 45630, Toledo, Spain","establishment,natural_feature","OK","twiiffor"
39.962884,-4.8304536,"locality","45600 Talavera de la Reina, Toledo, Spain","locality,political","OK","josueperezseg13"
42.5750554,-8.1338558,"administrative_area_level_1","Galicia, Spain","administrative_area_level_1,political","OK","Troposfera"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","Defensagob"
41.9794005,2.8214264,"locality","Girona, Spain","locality,political","OK","DiputacioGirona"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","MonicaParrill"
43.3708434,-1.8001488,"locality","Hondarribia, Gipuzkoa, Spain","locality,political","OK","jmanatol"
42.7439754,0.7913227,"administrative_area_level_3","Val d'Aran, Lleida, Spain","administrative_area_level_3,political","OK","S_FontsecaRiera"
40.4043103,-3.9993244,"locality","28690 Brunete, Madrid, Spain","locality,political","OK","paco229"
43.2497264,-5.7785282,"administrative_area_level_4","Mieres, Asturias, Spain","administrative_area_level_4,political","OK","IndurotUniovi"
41.7665972,-2.4790306,"locality","Soria, Spain","locality,political","OK","alvaro5393"
39.4840108,-0.7532809,"administrative_area_level_1","Valencian Community, Spain","administrative_area_level_1,political","OK","LopezD_Jesus"
39.2795607,-3.097702,"administrative_area_level_1","Castile-La Mancha, Spain","administrative_area_level_1,political","OK","Previifor"
37.1773363,-3.5985571,"locality","Granada, Spain","locality,political","OK","Javi_Foronda"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","greenpeace_esp"
40.2375052,-3.6967718,"locality","28320 Pinto, Madrid, Spain","locality,political","OK","policiapinto"
41.9402591,-7.4349526,"locality","Verín, Province of Ourense, Spain","locality,political","OK","PCVerin"
38.994349,-1.8585424,"locality","Albacete, Spain","locality,political","OK","Aivanyeste"
42.5987263,-5.5670959,"locality","León, Spain","locality,political","OK","LeonSpotters"
40.4935329,-3.8757916,"locality","Las Rozas de Madrid, Madrid, Spain","locality,political","OK","SAMERpclasrozas"
39.2795607,-3.097702,"administrative_area_level_1","Castile-La Mancha, Spain","administrative_area_level_1,political","OK","VOST_CLM"
41.5805938,1.7799034,"locality","08294 El Bruc, Barcelona, Spain","locality,political","OK","AjElBruc"
40.3468454,-3.8278443,"locality","Alcorcón, Madrid, Spain","locality,political","OK","carlospulido28"
36.746209,-5.1612251,"locality","29400 Ronda, Málaga, Spain","locality,political","OK","ProtCivilRonda"
42.5499958,-6.598259,"locality","Ponferrada, León, Spain","locality,political","OK","ondabierzo"
39.3900748,-3.2100984,"locality","13600 Alcázar de San Juan, Ciudad Real, Spain","locality,political","OK","PCIVIL_ALCAZAR"
41.2196699,1.534307,"locality","El Vendrell, Tarragona, Spain","locality,political","OK","tatarlak2"
40.5994005,-6.5307161,"locality","37500 Ciudad Rodrigo, Salamanca, Spain","locality,political","OK","Radioagueda"
40.632489,-3.16017,"locality","Guadalajara, Spain","locality,political","OK","marchan_morales"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","moralesmmar"
39.7939904,-2.302446,"administrative_area_level_2","Cuenca, Spain","administrative_area_level_2,political","OK","cuenca112"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","LFerreirim"
42.2870733,-2.539603,"administrative_area_level_1","La Rioja, Spain","administrative_area_level_1,political","OK","GreenpeaceRioja"
42.812526,-1.6457745,"locality","Pamplona, Navarre, Spain","locality,political","OK","prodeincendio"
43.3623436,-8.4115401,"locality","A Coruña, Spain","locality,political","OK","DelGobGalicia"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","NanquiSoto"
38.5068902,-1.6979398,"locality","02400 Hellín, Albacete, Spain","locality,political","OK","MeteoHellin"
41.8356821,-4.3976357,"administrative_area_level_1","Castile and León, Spain","administrative_area_level_1,political","OK","apamcyl"
39.4752765,-6.3724247,"locality","Cáceres‎, Cáceres, Spain","locality,political","OK","elbroncocc"
36.7167456,-4.4259962,"administrative_area_level_4","Málaga, Spain","administrative_area_level_4,political","OK","Fenicio_112"
37.9922399,-1.1306544,"locality","Murcia, Spain","locality,political","OK","chatmane10"
41.3850639,2.1734035,"locality","Barcelona, Spain","locality,political","OK","focfire"
39.4840108,-0.7532809,"administrative_area_level_1","Valencian Community, Spain","administrative_area_level_1,political","OK","i_casella"
43.1828396,-3.9878427,"administrative_area_level_1","Cantabria, Spain","administrative_area_level_1,political","OK","VirginiaCarrace"
40.2924071,-4.5804989,"locality","05420 Sotillo de la Adrada, Ávila, Spain","locality,political","OK","DiarioSotillo"
39.4699075,-0.3762881,"locality","Valencia, Spain","locality,political","OK","PyroFire"
40.632489,-3.16017,"locality","Guadalajara, Spain","locality,political","OK","henaresaldia"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","reinaldo_fb"
39.2795607,-3.097702,"administrative_area_level_1","Castile-La Mancha, Spain","administrative_area_level_1,political","OK","CCOOAgentesJCCM"
39.2795607,-3.097702,"administrative_area_level_1","Castile-La Mancha, Spain","administrative_area_level_1,political","OK","AAMM_JCCM"
39.5037093,-0.4431618,"locality","Paterna, Valencia, Spain","locality,political","OK","aiguespaterna"
39.4937392,-6.0679194,"administrative_area_level_1","Extremadura, Spain","administrative_area_level_1,political","OK","PLANINFOEX"
38.2291511,-1.701586,"locality","30420 Calasparra, Murcia, Spain","locality,political","OK","pedrommellinas"
39.4752765,-6.3724247,"locality","Cáceres‎, Cáceres, Spain","locality,political","OK","Juanjesancho"
38.0800864,-1.272254,"locality","30562 Ceutí, Murcia, Spain","locality,political","OK","protcivilceuti"
39.8628316,-4.0273231,"locality","Toledo, Spain","locality,political","OK","Andres_Lara2"
39.2795607,-3.097702,"administrative_area_level_1","Castile-La Mancha, Spain","administrative_area_level_1,political","OK","CMM_noticias"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","madridprotcivil"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","Gacetinmadrid"
42.5750554,-8.1338558,"administrative_area_level_1","Galicia, Spain","administrative_area_level_1,political","OK","AxenteRabioso"
42.8782132,-8.5448445,"locality","Santiago de Compostela, A Coruña, Spain","locality,political","OK","dr_xeo"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","CarlosNovilloPi"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","conchagalan13"
37.6256827,-0.9965839,"locality","Cartagena, Murcia, Spain","locality,political","OK","Bomberos_CT"
40.656685,-4.6812086,"locality","Ávila‎, Ávila, Spain","locality,political","OK","bomberosdeavila"
38.994349,-1.8585424,"locality","Albacete, Spain","locality,political","OK","PrsantosP"
40.4167754,-3.7037902,"locality","Madrid, Spain","locality,political","OK","EjercitoAire"
38.3459963,-0.4906855,"locality","Alicante, Spain","locality,political","OK","charlynbzsrnm"
42.1257236,-1.1365014,"locality","50600 Ejea de los Caballeros, Zaragoza, Spain","locality,political","OK","Heli_Ejea"
